customer_id,name,sex,state,age,is_married,active_since,event_time
C1,michelle miller,F,tennessee,52,False,2019-11-23 16:21:48,2023-05-22T14:15:48.008Z
C2,andrew mason,M,virginia,29,False,2019-09-09 01:45:28,2023-05-22T14:15:48.010Z
C3,alicia keller,F,kentucky,70,True,2016-09-18 00:15:12,2023-05-22T14:15:48.013Z
C4,eric campbell,M,missouri,52,True,2016-06-13 05:47:10,2023-05-22T14:15:48.015Z
C5,jessica powers,F,minnesota,31,True,2018-12-08 05:42:44,2023-05-22T14:15:48.017Z
C6,stephanie jones,F,new hampshire,22,True,2019-06-24 02:57:56,2023-05-22T14:15:48.019Z
C7,todd jones,M,colorado,66,True,2016-12-01 12:47:02,2023-05-22T14:15:48.020Z
C8,janet taylor,F,arkansas,86,False,2018-03-12 05:24:32,2023-05-22T14:15:48.023Z
C9,ryan bailey,M,vermont,89,False,2019-02-19 01:27:02,2023-05-22T14:15:48.025Z
C10,larry martinez,M,hawaii,60,True,2017-12-21 02:23:15,2023-05-22T14:15:48.027Z
C11,debra hall,F,arkansas,61,False,2018-10-17 17:23:37,2023-05-22T14:15:48.029Z
C12,rebecca mcguire,F,wisconsin,24,False,2018-09-16 17:09:25,2023-05-22T14:15:48.031Z
C13,evelyn griffith,F,massachusetts,38,False,2016-01-06 19:28:39,2023-05-22T14:15:48.033Z
C14,jim paul,M,illinois,35,True,2019-05-28 18:04:12,2023-05-22T14:15:48.034Z
C15,mathew clark,M,new york,61,True,2017-06-08 06:05:23,2023-05-22T14:15:48.037Z
C16,nancy jimenez,F,south carolina,89,True,2016-05-27 12:52:58,2023-05-22T14:15:48.041Z
C17,john taylor,M,alaska,60,False,2018-03-30 18:04:21,2023-05-22T14:15:48.045Z
C18,monica cole,F,west virginia,49,False,2019-07-13 21:04:24,2023-05-22T14:15:48.047Z
C19,russell lang,M,tennessee,38,True,2016-11-03 01:06:26,2023-05-22T14:15:48.051Z
C20,diane johnson,F,alaska,18,True,2019-12-03 06:03:10,2023-05-22T14:15:48.054Z
C21,kevin newman,M,arkansas,73,True,2018-03-23 11:41:38,2023-05-22T14:15:48.056Z
C22,anthony jones,M,nevada,29,True,2018-02-18 11:59:07,2023-05-22T14:15:48.057Z
C23,amber davis,F,kentucky,66,True,2019-03-28 13:08:59,2023-05-22T14:15:48.059Z
C24,paula brooks,F,iowa,26,False,2016-11-03 02:42:01,2023-05-22T14:15:48.062Z
C25,marilyn walters,F,massachusetts,18,True,2019-04-23 14:27:21,2023-05-22T14:15:48.064Z
C26,shane kennedy,M,rhode island,58,False,2017-03-16 23:40:33,2023-05-22T14:15:48.065Z
C27,jessica shaw,F,wisconsin,75,True,2019-02-13 14:16:37,2023-05-22T14:15:48.066Z
C28,kristopher willis,M,wyoming,31,False,2019-09-14 23:32:02,2023-05-22T14:15:48.068Z
C29,scott pierce,M,georgia,23,True,2017-02-24 11:51:09,2023-05-22T14:15:48.071Z
C30,janet lewis,F,idaho,29,False,2017-01-28 20:08:38,2023-05-22T14:15:48.074Z
C31,peter baker jr.,M,virginia,36,True,2017-06-23 06:56:29,2023-05-22T14:15:48.075Z
C32,jonathan hernandez,M,nebraska,34,True,2018-08-14 21:22:44,2023-05-22T14:15:48.077Z
C33,thomas haley,M,alabama,20,False,2017-12-13 13:54:55,2023-05-22T14:15:48.078Z
C34,joseph smith,M,north dakota,55,True,2016-03-12 14:21:36,2023-05-22T14:15:48.081Z
C35,jeremy rodriguez,M,maryland,73,False,2019-11-24 04:40:44,2023-05-22T14:15:48.082Z
C36,wendy simpson,F,california,91,True,2017-10-03 06:16:52,2023-05-22T14:15:48.085Z
C37,john davenport,M,missouri,79,False,2017-02-19 19:45:52,2023-05-22T14:15:48.088Z
C38,tiffany price,F,new york,51,True,2019-03-27 00:18:55,2023-05-22T14:15:48.091Z
C39,leah ayala,F,nebraska,78,True,2018-07-21 16:10:30,2023-05-22T14:15:48.092Z
C40,norma gregory,F,wisconsin,22,False,2016-03-19 01:02:07,2023-05-22T14:15:48.094Z
C41,laura harris,F,ohio,57,True,2019-02-09 03:41:20,2023-05-22T14:15:48.097Z
C42,brian crawford,M,new hampshire,61,True,2016-09-23 07:02:57,2023-05-22T14:15:48.098Z
C43,jerry jennings,M,mississippi,84,False,2016-10-09 11:54:52,2023-05-22T14:15:48.100Z
C44,richard johnson,M,alabama,79,False,2018-12-26 00:09:56,2023-05-22T14:15:48.102Z
C45,linda butler,F,colorado,44,True,2019-04-03 16:37:57,2023-05-22T14:15:48.103Z
C46,christine carrillo,F,connecticut,85,False,2016-02-12 01:22:58,2023-05-22T14:15:48.105Z
C47,rebecca wood,F,indiana,90,False,2016-12-23 07:33:03,2023-05-22T14:15:48.106Z
C48,mary carter,F,new mexico,58,False,2019-02-01 22:02:04,2023-05-22T14:15:48.108Z
C49,richard price,M,virginia,19,True,2016-03-19 08:41:56,2023-05-22T14:15:48.110Z
C50,scott mcdaniel,M,illinois,68,False,2018-07-17 03:56:16,2023-05-22T14:15:48.111Z
C51,debra nunez md,F,utah,83,True,2016-09-10 14:15:05,2023-05-22T14:15:48.112Z
C52,renee garcia,F,new hampshire,73,False,2017-05-04 06:58:56,2023-05-22T14:15:48.113Z
C53,kelly moore,F,alaska,86,False,2019-03-15 11:07:40,2023-05-22T14:15:48.115Z
C54,terrence bennett,M,new jersey,80,True,2017-11-19 08:08:30,2023-05-22T14:15:48.117Z
C55,scott montoya,M,new mexico,84,True,2018-06-01 13:07:05,2023-05-22T14:15:48.118Z
C56,john willis,M,nevada,71,False,2016-07-03 02:59:05,2023-05-22T14:15:48.119Z
C57,natasha lawrence,F,new hampshire,65,False,2019-09-03 09:38:04,2023-05-22T14:15:48.121Z
C58,william wilson,M,west virginia,83,False,2019-10-29 10:28:31,2023-05-22T14:15:48.122Z
C59,carlos stewart,M,colorado,22,False,2016-12-10 09:54:17,2023-05-22T14:15:48.123Z
C60,gabriel avila,M,washington,41,False,2017-12-07 10:05:42,2023-05-22T14:15:48.125Z
C61,amy contreras,F,north dakota,28,False,2019-07-19 19:10:58,2023-05-22T14:15:48.126Z
C62,susan franklin,F,arizona,80,True,2017-08-24 12:05:04,2023-05-22T14:15:48.128Z
C63,sheila hall,F,idaho,51,False,2016-07-20 13:28:31,2023-05-22T14:15:48.129Z
C64,madeline sanchez,F,virginia,39,False,2018-06-01 10:45:12,2023-05-22T14:15:48.131Z
C65,breanna mitchell,F,new york,60,False,2016-05-17 07:42:53,2023-05-22T14:15:48.133Z
C66,david smith,M,iowa,61,False,2019-11-06 18:22:08,2023-05-22T14:15:48.134Z
C67,thomas daniels,M,alaska,88,False,2018-10-19 15:38:30,2023-05-22T14:15:48.135Z
C68,kyle mills,M,colorado,68,False,2019-03-22 12:48:38,2023-05-22T14:15:48.137Z
C69,david acevedo,M,pennsylvania,27,False,2018-01-21 15:08:58,2023-05-22T14:15:48.138Z
C70,melanie shaw,F,michigan,76,True,2018-12-20 18:11:24,2023-05-22T14:15:48.140Z
C71,mary christensen,F,alabama,67,True,2017-03-27 21:24:35,2023-05-22T14:15:48.141Z
C72,susan campbell,F,california,91,False,2016-12-28 13:18:48,2023-05-22T14:15:48.143Z
C73,jasmine wiggins,F,kentucky,61,False,2016-11-17 02:17:02,2023-05-22T14:15:48.145Z
C74,tiffany sandoval,F,oklahoma,20,True,2019-01-13 05:17:28,2023-05-22T14:15:48.146Z
C75,justin smith,M,montana,42,False,2019-10-22 21:58:08,2023-05-22T14:15:48.148Z
C76,ryan henry,M,oregon,29,True,2017-10-19 00:27:32,2023-05-22T14:15:48.149Z
C77,robert williams,M,virginia,64,False,2019-02-02 02:47:16,2023-05-22T14:15:48.151Z
C78,matthew anderson,M,florida,19,True,2016-01-30 18:04:57,2023-05-22T14:15:48.152Z
C79,jeremy bennett,M,colorado,63,False,2019-01-17 17:46:03,2023-05-22T14:15:48.154Z
C80,shawn moss,M,west virginia,47,True,2019-02-22 06:15:37,2023-05-22T14:15:48.155Z
C81,james king,M,washington,69,True,2017-12-20 20:05:20,2023-05-22T14:15:48.157Z
C82,april meyer,F,alaska,86,False,2017-03-29 10:46:16,2023-05-22T14:15:48.159Z
C83,tracy valentine,F,alabama,82,False,2017-01-24 12:18:04,2023-05-22T14:15:48.160Z
C84,jon wilson,M,alaska,25,True,2018-05-11 15:42:37,2023-05-22T14:15:48.161Z
C85,christopher gibson,M,south dakota,54,False,2019-03-24 05:12:44,2023-05-22T14:15:48.163Z
C86,shawn powell,M,texas,81,True,2019-08-06 00:43:03,2023-05-22T14:15:48.164Z
C87,sherry glenn,F,new york,47,False,2018-09-19 13:47:51,2023-05-22T14:15:48.165Z
C88,daniel bradley,M,north dakota,87,True,2016-09-18 02:40:38,2023-05-22T14:15:48.166Z
C89,jacqueline larson,F,wisconsin,79,True,2016-12-14 04:21:21,2023-05-22T14:15:48.168Z
C90,mrs. penny zuniga dds,F,kentucky,40,False,2017-01-31 15:18:52,2023-05-22T14:15:48.169Z
C91,mr. hector ramirez,M,ohio,37,True,2016-12-28 23:45:54,2023-05-22T14:15:48.171Z
C92,steven murray,M,ohio,86,True,2018-01-31 13:33:49,2023-05-22T14:15:48.173Z
C93,chelsea moss,F,texas,74,True,2018-10-07 16:47:12,2023-05-22T14:15:48.174Z
C94,tina hendrix,F,rhode island,66,True,2017-05-20 00:52:21,2023-05-22T14:15:48.175Z
C95,david gibbs,M,illinois,77,False,2018-10-18 13:52:04,2023-05-22T14:15:48.176Z
C96,elijah rogers,M,new york,23,True,2018-08-23 07:19:26,2023-05-22T14:15:48.178Z
C97,john orozco,M,nevada,19,False,2019-03-15 20:33:04,2023-05-22T14:15:48.179Z
C98,robert murray,M,tennessee,35,True,2018-05-25 12:57:27,2023-05-22T14:15:48.180Z
C99,vanessa walters,F,wisconsin,76,False,2019-03-14 19:38:18,2023-05-22T14:15:48.182Z
C100,tara price,F,california,42,True,2018-04-27 10:29:54,2023-05-22T14:15:48.183Z
C101,jo thomas,F,maryland,20,True,2018-07-26 03:42:41,2023-05-22T14:15:48.185Z
C102,kelly davis,F,ohio,50,False,2019-09-12 04:03:54,2023-05-22T14:15:48.188Z
C103,brian hardy,M,nebraska,63,True,2016-08-28 00:26:56,2023-05-22T14:15:48.189Z
C104,steven long,M,washington,52,False,2016-06-12 17:28:10,2023-05-22T14:15:48.191Z
C105,stacey rodriguez,F,wyoming,73,True,2018-04-24 16:14:12,2023-05-22T14:15:48.192Z
C106,kelsey anderson,F,hawaii,71,True,2018-12-25 15:39:08,2023-05-22T14:15:48.194Z
C107,amy white,F,maryland,18,True,2016-05-16 01:54:25,2023-05-22T14:15:48.195Z
C108,sarah elliott,F,washington,31,False,2017-03-23 14:40:12,2023-05-22T14:15:48.197Z
C109,heather chambers,F,michigan,26,False,2016-05-18 14:59:14,2023-05-22T14:15:48.199Z
C110,diane lewis,F,new jersey,83,False,2019-05-23 02:32:13,2023-05-22T14:15:48.201Z
C111,christina meyer,F,missouri,63,True,2017-01-16 02:58:21,2023-05-22T14:15:48.203Z
C112,victoria smith,F,idaho,29,True,2017-03-08 19:46:25,2023-05-22T14:15:48.205Z
C113,patricia galloway,F,washington,28,False,2019-12-04 23:50:26,2023-05-22T14:15:48.206Z
C114,sara williams,F,oklahoma,73,False,2019-02-24 18:30:25,2023-05-22T14:15:48.208Z
C115,elizabeth jones,F,florida,19,False,2018-12-23 12:41:47,2023-05-22T14:15:48.210Z
C116,matthew miles,M,kansas,86,True,2017-11-25 21:43:09,2023-05-22T14:15:48.211Z
C117,manuel jones,M,connecticut,66,False,2016-01-12 16:37:08,2023-05-22T14:15:48.213Z
C118,tammy bush,F,iowa,27,False,2016-10-16 15:13:02,2023-05-22T14:15:48.214Z
C119,manuel davidson,M,new jersey,87,False,2019-05-16 22:13:13,2023-05-22T14:15:48.216Z
C120,danielle cruz,F,illinois,69,True,2018-06-15 05:55:04,2023-05-22T14:15:48.217Z
C121,karen douglas,F,mississippi,21,True,2019-09-02 19:32:25,2023-05-22T14:15:48.219Z
C122,patrick tate,M,massachusetts,59,True,2019-04-10 16:18:15,2023-05-22T14:15:48.220Z
C123,david barber,M,kansas,51,False,2018-06-20 03:20:24,2023-05-22T14:15:48.222Z
C124,wayne elliott,M,west virginia,78,True,2019-03-27 14:41:33,2023-05-22T14:15:48.223Z
C125,kathy sloan,F,idaho,22,False,2018-07-17 21:22:00,2023-05-22T14:15:48.224Z
C126,ashley hernandez,F,idaho,89,False,2016-01-20 09:40:43,2023-05-22T14:15:48.226Z
C127,teresa hall,F,arkansas,60,False,2016-12-31 08:07:46,2023-05-22T14:15:48.227Z
C128,alejandra roman,F,new york,71,True,2016-06-15 18:52:35,2023-05-22T14:15:48.229Z
C129,christopher jones,M,utah,62,True,2017-06-15 00:18:09,2023-05-22T14:15:48.231Z
C130,margaret martin,F,ohio,21,False,2018-05-21 20:33:53,2023-05-22T14:15:48.232Z
C131,david palmer,M,virginia,38,True,2017-09-14 17:23:44,2023-05-22T14:15:48.233Z
C132,brian bolton,M,louisiana,71,True,2017-04-20 21:41:12,2023-05-22T14:15:48.235Z
C133,cindy holmes,F,idaho,26,False,2016-09-16 13:34:40,2023-05-22T14:15:48.236Z
